% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 17.72 ms, time offset 117.5 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-20 T 16:59:00 +1100
% Time (s), Channel A (Input 1) (V), Freq (Hz), Math (Ch A FFT) (dBm)
-3.663440000000e-03, -7.901808e-01, 5.317056e-03, -6.935610e+01
-3.646064000000e-03, -8.414754e-01, 5.334432e-03, -7.885727e+01
-3.628688000000e-03, -8.194920e-01, 5.351808e-03, -7.624111e+01
-3.611312000000e-03, -8.414754e-01, 5.369184e-03, -6.800249e+01
-3.593936000000e-03, -7.523205e-01, 5.386560e-03, -6.521692e+01
-3.576560000000e-03, -6.741573e-01, 5.403936e-03, -6.504158e+01
-3.559184000000e-03, -5.300440e-01, 5.421312e-03, -6.504493e+01
-3.541808000000e-03, -3.529556e-01, 5.438688e-03, -6.580508e+01
-3.524432000000e-03, -1.697606e-01, 5.456064e-03, -6.891538e+01
-3.507056000000e-03, 3.053249e-02, 5.473440e-03, -7.158056e+01
-3.489680000000e-03, 2.161700e-01, 5.490816e-03, -6.649507e+01
-3.472304000000e-03, 4.250122e-01, 5.508192e-03, -6.390442e+01
-3.454928000000e-03, 5.593552e-01, 5.525568e-03, -6.385368e+01
-3.437552000000e-03, 6.912555e-01, 5.542944e-03, -6.543195e+01
-3.420176000000e-03, 7.743039e-01, 5.560320e-03, -6.940865e+01
-3.402800000000e-03, 8.463606e-01, 5.577696e-03, -7.906714e+01
-3.385424000000e-03, 8.903274e-01, 5.595072e-03, -6.883474e+01
-3.368048000000e-03, 8.720079e-01, 5.612448e-03, -6.447776e+01
-3.350672000000e-03, 8.414754e-01, 5.629824e-03, -6.413422e+01
-3.333296000000e-03, 7.291158e-01, 5.647200e-03, -6.707559e+01
-3.315920000000e-03, 6.326332e-01, 5.664576e-03, -7.154125e+01
-3.298544000000e-03, 4.555447e-01, 5.681952e-03, -6.842114e+01
-3.281168000000e-03, 2.821202e-01, 5.699328e-03, -6.570374e+01
