% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 10.88 ms, time offset -555.9 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-20 T 17:01:03 +1100
% Time (s), Channel A (Input 1) (V), Freq (Hz), Math (Ch A FFT) (dBm)
-1.811712000000e-03, 6.204202e-01, 3.075072e-03, -6.661251e+01
-1.800960000000e-03, 5.007328e-01, 3.085824e-03, -7.489129e+01
-1.790208000000e-03, 4.127992e-01, 3.096576e-03, -7.428707e+01
-1.779456000000e-03, 3.297509e-01, 3.107328e-03, -7.248596e+01
-1.768704000000e-03, 1.673180e-01, 3.118080e-03, -7.274847e+01
-1.757952000000e-03, 4.274548e-02, 3.128832e-03, -7.242299e+01
-1.747200000000e-03, -4.763068e-02, 3.139584e-03, -7.004055e+01
-1.736448000000e-03, -1.709819e-01, 3.150336e-03, -6.756045e+01
-1.725696000000e-03, -3.224231e-01, 3.161088e-03, -6.877859e+01
-1.714944000000e-03, -4.286761e-01, 3.171840e-03, -6.580095e+01
-1.704192000000e-03, -4.872985e-01, 3.182592e-03, -5.628813e+01
-1.693440000000e-03, -5.935516e-01, 3.193344e-03, -5.139013e+01
-1.682688000000e-03, -6.875916e-01, 3.204096e-03, -4.964303e+01
-1.671936000000e-03, -7.413288e-01, 3.214848e-03, -5.058433e+01
-1.661184000000e-03, -7.816317e-01, 3.225600e-03, -5.427423e+01
-1.650432000000e-03, -8.292624e-01, 3.236352e-03, -6.091697e+01
-1.639680000000e-03, -8.451393e-01, 3.247104e-03, -6.844056e+01
-1.628928000000e-03, -8.097216e-01, 3.257856e-03, -7.632929e+01
-1.618176000000e-03, -8.378115e-01, 3.268608e-03, -7.525961e+01
-1.607424000000e-03, -8.512458e-01, 3.279360e-03, -6.459132e+01
-1.596672000000e-03, -8.023938e-01, 3.290112e-03, -5.955948e+01
-1.585920000000e-03, -7.217880e-01, 3.300864e-03, -5.684016e+01
-1.575168000000e-03, -6.827064e-01, 3.311616e-03, -5.621157e+01
-1.564416000000e-03, -6.289693e-01, 3.322368e-03, -5.796028e+01
-1.553664000000e-03, -4.970689e-01, 3.333120e-03, -6.290979e+01
-1.542912000000e-03, -3.944797e-01, 3.343872e-03, -7.244423e+01
-1.532160000000e-03, -3.102101e-01, 3.354624e-03, -7.005215e+01
-1.521408000000e-03, -1.966292e-01, 3.365376e-03, -6.881937e+01
-1.510656000000e-03, -3.663899e-02, 3.376128e-03, -7.288839e+01
-1.499904000000e-03, 8.182707e-02, 3.386880e-03, -7.997761e+01
-1.489152000000e-03, 1.636541e-01, 3.397632e-03, -7.146553e+01
-1.478400000000e-03, 3.102101e-01, 3.408384e-03, -6.797413e+01
-1.467648000000e-03, 4.408891e-01, 3.419136e-03, -6.780456e+01
-1.456896000000e-03, 5.276014e-01, 3.429888e-03, -7.061100e+01
-1.446144000000e-03, 5.959942e-01, 3.440640e-03, -6.730748e+01
-1.435392000000e-03, 6.863703e-01, 3.451392e-03, -6.234735e+01
-1.424640000000e-03, 7.498779e-01, 3.462144e-03, -6.105353e+01
-1.413888000000e-03, 7.743039e-01, 3.472896e-03, -6.288348e+01
-1.403136000000e-03, 8.255985e-01, 3.483648e-03, -6.674302e+01
-1.392384000000e-03, 8.781144e-01, 3.494400e-03, -7.246918e+01
-1.381632000000e-03, 8.952125e-01, 3.505152e-03, -7.278008e+01
-1.370880000000e-03, 8.585736e-01, 3.515904e-03, -6.043257e+01
-1.360128000000e-03, 8.732292e-01, 3.526656e-03, -5.632197e+01
